esac_id_unique,esac_id,relationship,end_date,c_a_only,data_url,last_reviewed
acm2020delft,acm2020delft,NA,2023-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vStZArviZUh3P9Qj1NdWz-VSEWL2KSjKGu5PeGfXDlcf8GFRy6ccFHV1lceQcfb0q9aHQR8_aux5c_a/pub?gid=684626521&single=true&output=csv,2022-05-02
acm2021hebis,acm2021hebis,NA,2026-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,2022-06-10
ieee2020icm,ieee2020icm,NA,2022-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vRhzEhBlfdquMksql0evfq4wQQ22I1Acc1Ewe2xDnYm98T6g_Hkh5Q7dBe4DBIeOjdfSw1DA008ql8W/pub?gid=684626521&single=true&output=csv,2022-07-19
eme2021bibsam,eme2021bibsam,NA,2023-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vQLdLDDZwglwlpHLjBAwAqco97SUyEsotr619EIGovDdEEN9I8jFZ1MP4aPuFahWfA3x5tnXjar3sKP/pub?gid=684626521&single=true&output=csv,2022-05-06
brill2021bibsam,brill2021bibsam,NA,2023-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vRY5EFhDJ8jQzU3yE6TQnAbsswHbLmD_5SoSiIAvt90KNpQk8EjckRMEeJNv0_yVP9ry2KZg7REa9dr/pub?gid=684626521&single=true&output=csv,2022-05-11
acs2020icm,acs2020icm,NA,2022-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vTpLexkCT90XeuYJCBHTGQr9meML8T0-IfR7xD3j5gzqlPGi7LyKRImKBb4wcy-otwkSA6Xfqg5Upoh/pub?gid=684626521&single=true&output=csv,2022-07-15
wiley2022nst,wiley2022nst,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ9PTXYZhSvB9gjir3prhf0zmCXbXgXllbiXGaYk9Rck02j9QRnoGatwkG6hGgnia5BFnnZt0qGlBj5/pub?gid=684626521&single=true&output=csv,2022-10-14
acm2020ie,acm2020ie,NA,2022-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ7QXo7hQtO_Sj5A4Xv38d55Sd2gVkyUylDdAsmiBO2tn9MnSgkzUaOBIMQgPRdSqkrTs2VRMyN3zyu/pub?gid=684626521&single=true&output=csv,2022-10-17
cam2020elnet_1,cam2020elnet,Full Gold & Hybrid,2022-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vQocNGPoTuPnnIz4w28lQBJ6E64xL-p8SF7WTK5LnesWTHCQdhxEfa0etc-mRKoBppO3p9kB-nAw--q/pub?gid=684626521&single=true&output=csv,2022-10-17
cam2020elnet_2,cam2020elnet,HSS Gold & Hybrid,2022-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vQdzR5Kve9NGGedW7ky8biP5E9vAeYqXmbArm1exi3WK84BSnqkMR6NqthiuGFYex_zp4MtWh-e_nW9/pub?gid=684626521&single=true&output=csv,2022-10-17
